TT        PID       AT        CT        IO_D      WT        RT        TRT       Deadline
26        6         8         54        0         18        0         18        45        
42        44        41        32        15        0         41        1         97        
52        20        21        37        0         0         21        31        45        
52        68        21        37        0         31        0         31        0         
52        72        28        30        0         24        0         24        0         
63        35        32        28        0         3         32        31        10        
66        3         4         97        0         27        8         62        13        
66        67        19        86        0         47        0         47        0         
66        71        25        80        0         41        0         41        0         
93        77        61        31        0         1         62        32        0         
93        81        77        16        0         16        0         16        0         
93        87        89        4         0         4         0         4         0         
105       34        31        43        0         31        31        74        11        
164       5         7         45        11        112       7         157       29        
164       62        7         45        0         134       16        157       0         
164       65        17        44        0         147       0         147       0         
164       69        22        39        0         117       53        142       0         
164       83        78        14        0         86        0         86        0         
164       64        17        35        0         147       0         147       0         
166       53        49        66        0         51        58        117       41        
166       96        119       47        0         47        0         47        0         
166       97        120       46        0         46        0         46        0         
170       23        23        88        0         59        78        147       78        
174       13        14        23        3         137       17        160       57        
176       37        34        35        0         107       52        142       32        
185       61        6         33        0         146       7         179       0         
185       63        13        27        0         172       0         172       0         
185       102       173       12        0         12        0         12        0         
202       29        26        30        13        146       37        176       107       
204       14        15        31        7         158       15        189       35        
204       66        18        28        0         162       31        186       0         
204       73        36        23        0         168       0         168       0         
204       74        45        14        0         159       0         159       0         
204       70        23        23        0         163       186       181       0         
204       105       188       21        0         2         189       16        0         
204       107       197       14        0         1         198       7         0         
204       109       201       11        0         3         0         3         0         
204       108       200       11        0         4         0         4         0         
204       106       189       20        0         15        0         15        0         
234       100       142       55        0         37        173       92        0         
234       103       175       53        0         59        0         59        0         
234       104       179       49        0         35        180       55        0         
236       85        86        97        0         53        87        150       0         
236       92        108       76        0         124       109       128       0         
236       94        112       72        0         124       0         124       0         
239       18        18        30        0         191       22        221       57        
245       21        23        22        8         200       30        222       87        
250       10        9         30        0         211       9         241       96        
250       75        48        16        0         202       0         202       0         
268       110       207       59        0         2         208       61        0         
268       111       218       49        0         50        0         50        0         
268       112       225       43        0         24        226       43        0         
268       113       228       41        0         40        0         40        0         
268       114       229       40        0         39        0         39        0         
275       51        47        88        0         140       47        228       24        
275       79        67        68        0         200       267       208       0         
275       117       271       64        0         4         0         4         0         
275       80        68        67        0         207       0         207       0         
282       25        24        36        0         222       24        258       40        
290       4         6         39        5         245       84        284       102       
303       28        26        18        0         259       42        277       42        
311       125       304       6         0         1         305       7         0         
311       126       305       6         0         2         306       6         0         
311       127       306       6         0         5         0         5         0         
311       128       310       2         0         1         0         1         0         
311       115       245       34        0         32        276       66        0         
311       121       278       32        0         33        0         33        0         
316       101       153       43        0         120       235       163       0         
316       116       247       32        0         66        312       69        0         
316       129       313       31        0         1         314       3         0         
328       76        55        59        0         214       269       273       0         
328       120       278       50        0         50        0         50        0         
328       123       284       44        0         40        285       44        0         
328       124       288       41        0         33        312       40        0         
352       122       278       35        0         39        316       74        0         
352       131       318       33        0         34        0         34        0         
352       133       320       31        0         32        0         32        0         
382       99        140       57        0         185       173       242       0         
382       118       272       41        0         98        273       110       0         
382       119       276       38        0         106       0         106       0         
394       135       335       58        0         1         336       59        0         
394       136       337       57        0         57        0         57        0         
394       138       340       54        0         54        0         54        0         
398       60        55        72        0         271       90        343       30        
415       130       318       32        0         65        383       97        0         
415       140       393       22        0         1         394       22        0         
415       141       397       19        0         1         398       18        0         
415       143       398       19        0         17        0         17        0         
415       142       398       18        0         17        0         17        0         
415       144       398       17        0         17        0         17        0         
427       9         9         99        11        319       9         418       33        
428       24        23        46        8         359       57        405       29        
433       17        17        27        0         389       49        416       64        
438       59        55        59        0         324       55        383       41        
438       84        81        33        0         325       317       357       0         
438       132       320       30        0         96        328       118       0         
438       137       339       19        0         99        0         99        0         
438       139       343       15        0         95        0         95        0         
444       49        45        84        0         315       85        399       46        
461       2         2         78        0         381       2         459       59        
503       148       431       70        0         2         432       72        0         
503       149       436       66        0         67        0         67        0         
503       152       447       56        0         56        0         56        0         
506       93        111       84        0         311       416       395       0         
506       145       418       82        0         20        419       88        0         
506       146       420       81        0         86        0         86        0         
506       147       425       76        0         81        0         81        0         
520       31        28        54        9         438       28        492       70        
534       90        99        95        0         340       439       435       0         
534       150       440       94        0         94        0         94        0         
534       151       442       92        0         92        0         92        0         
547       12        13        27        0         507       13        534       108       
551       19        19        66        0         466       81        532       36        
556       55        52        98        20        406       85        504       10        
556       86        87        96        0         451       504       469       0         
556       153       506       94        0         2         507       50        0         
556       156       521       80        0         35        0         35        0         
556       157       524       77        0         32        0         32        0         
556       154       507       93        0         47        554       49        0         
561       33        31        50        2         480       48        530       76        
567       8         9         80        18        478       9         558       42        
567       78        64        64        0         492       329       503       0         
567       134       330       63        0         237       0         237       0         
567       82        78        50        0         488       79        489       0         
576       26        24        52        10        500       27        552       81        
577       36        34        44        14        499       116       543       44        
580       1         2         37        13        541       2         578       59        
586       57        52        92        14        442       52        534       83        
586       88        93        64        0         462       132       493       0         
586       98        135       61        0         398       136       451       0         
586       89        96        61        0         477       205       490       0         
595       27        25        99        16        471       31        570       61        
602       15        16        39        5         547       195       586       51        
628       160       538       51        0         39        577       90        0         
628       163       579       49        0         49        0         49        0         
628       164       584       44        0         44        0         44        0         
629       39        36        32        13        561       80        593       38        
639       58        53        78        0         508       68        586       96        
643       30        27        53        0         563       107       616       94        
651       158       526       61        0         64        527       125       0         
651       159       531       58        0         120       0         120       0         
676       32        29        69        8         578       32        647       28        
681       162       559       77        0         45        560       122       0         
681       165       602       77        0         58        652       79        0         
681       171       667       63        0         1         668       14        0         
681       172       674       57        0         7         0         7         0         
681       173       675       56        0         6         0         6         0         
681       166       605       74        0         17        611       76        0         
681       167       612       73        0         69        0         69        0         
681       168       616       69        0         2         617       65        0         
681       169       624       62        0         56        625       57        0         
