TT        PID       AT        CT        IO_D      WT        RT        TRT       Deadline
30        13        14        16        0         0         14        16        27        
36        8         13        68        10        11        13        23        105       
36        86        15        66        0         21        0         21        0         
36        87        16        65        0         20        0         20        0         
44        37        40        60        8         4         0         4         19        
107       54        55        20        0         32        59        52        81        
116       6         11        78        0         27        11        105       99        
116       96        104       12        0         12        0         12        0         
116       97        107       9         0         9         0         9         0         
134       61        63        19        0         52        63        71        12        
134       98        129       5         0         5         0         5         0         
145       73        76        31        0         38        112       69        67        
145       99        136       8         0         9         0         9         0         
165       51        52        46        0         67        52        113       36        
165       102       162       3         0         2         163       3         0         
168       25        29        18        0         121       63        139       15        
185       70        73        54        0         58        73        112       105       
185       93        79        48        0         106       0         106       0         
185       94        83        44        0         102       0         102       0         
187       3         6         52        5         129       6         181       35        
209       49        51        46        0         112       58        158       16        
224       88        22        49        0         153       28        202       0         
224       90        39        38        0         185       0         185       0         
224       103       186       38        0         1         187       38        0         
224       104       189       36        0         32        190       35        0         
224       105       198       27        0         26        0         26        0         
228       95        91        26        0         111       144       137       0         
228       100       150       20        0         71        151       78        0         
228       101       152       18        0         76        0         76        0         
248       14        15        53        0         180       18        233       29        
271       34        36        18        0         217       253       235       90        
293       107       254       38        0         1         255       39        0         
293       108       260       33        0         33        0         33        0         
293       109       268       25        0         1         269       25        0         
293       110       271       23        0         22        0         22        0         
293       111       280       14        0         13        0         13        0         
315       31        34        67        0         214       34        281       102       
315       89        39        62        0         243       229       276       0         
315       106       250       41        0         61        251       65        0         
315       91        46        55        0         269       0         269       0         
319       74        78        15        25        226       78        241       17        
336       113       298       37        0         1         299       38        0         
375       80        83        32        16        260       142       292       19        
401       46        49        44        7         308       124       352       77        
401       114       299       36        0         102       0         102       0         
406       119       352       49        0         5         353       54        0         
406       120       353       49        0         53        0         53        0         
406       121       355       47        0         51        0         51        0         
430       42        45        31        10        354       85        385       14        
463       92        66        51        0         346       407       397       0         
463       123       436       27        0         2         437       27        0         
475       59        60        57        0         358       60        415       28        
480       12        14        60        0         406       14        466       27        
493       116       334       66        0         93        335       159       0         
493       118       339       62        0         154       0         154       0         
500       29        32        19        0         449       50        468       90        
511       112       297       80        0         134       320       214       0         
511       117       339       61        0         172       427       172       0         
511       122       427       61        0         84        0         84        0         
531       69        71        42        0         418       155       460       97        
563       124       523       39        0         1         524       40        0         
563       125       539       24        0         3         540       24        0         
563       126       547       16        0         16        0         16        0         
564       53        54        22        0         488       280       510       72        
571       1         3         95        15        473       3         568       11        
578       60        61        31        0         486       113       517       69        
587       5         9         94        9         484       13        578       11        
587       128       579       8         0         1         580       8         0         
589       35        38        19        0         532       337       551       92        
664       2         4         36        22        624       8         660       55        
665       79        82        66        0         517       195       583       78        
682       132       621       60        0         1         622       61        0         
682       134       641       41        0         3         642       41        0         
682       136       680       4         0         2         0         2         0         
682       135       655       27        0         27        0         27        0         
684       66        65        27        9         592       69        619       28        
712       4         7         49        12        656       10        705       21        
721       130       602       77        0         42        603       119       0         
721       131       607       73        0         61        608       114       0         
721       133       626       54        0         95        0         95        0         
732       65        64        35        0         633       372       668       104       
737       137       680       19        0         38        682       57        0         
737       138       684       17        0         53        0         53        0         
737       141       733       4         0         4         0         4         0         
830       127       572       90        0         168       588       258       0         
830       129       589       89        0         160       590       241       0         
830       140       732       65        0         98        0         98        0         
830       143       758       69        0         35        759       72        0         
830       144       760       68        0         70        0         70        0         
830       145       761       67        0         69        0         69        0         
832       16        18        44        7         770       126       814       110       
853       146       779       9         0         65        844       74        0         
884       139       730       50        0         104       831       154       0         
884       147       859       23        0         25        0         25        0         
887       56        57        29        39        801       91        830       32        
897       115       309       68        0         520       494       588       0         
898       85        86        41        19        771       280       812       90        
919       40        42        52        17        825       48        877       92        
