TT        PID       AT        CT        IO_D      WT        RT        TRT       Deadline
23        4         2         17        0         4         2         21        29        
23        108       12        10        0         11        0         11        0         
23        110       15        7         0         8         0         8         0         
56        51        49        42        7         0         49        7         109       
56        116       51        40        0         5         0         5         0         
56        117       54        37        0         2         0         2         0         
70        25        23        41        0         6         23        47        66        
70        120       67        3         0         3         0         3         0         
70        27        24        37        0         9         33        46        97        
88        50        48        22        0         18        49        40        43        
94        77        68        22        0         4         68        26        18        
114       62        55        28        0         31        57        59        55        
123       127       96        23        0         4         97        27        0         
123       130       100       20        0         23        0         23        0         
123       132       107       16        0         2         108       16        0         
123       133       108       16        0         12        109       15        0         
123       134       109       15        0         14        0         14        0         
148       22        21        37        15        90        24        127       60        
164       53        51        88        0         25        51        113       51        
164       115       51        88        0         113       0         113       0         
164       118       56        83        0         108       0         108       0         
169       24        22        31        0         116       23        147       78        
174       56        52        73        0         49        62        122       40        
182       21        19        22        12        141       19        163       89        
196       43        42        59        0         95        42        154       108       
197       59        52        17        4         128       62        145       92        
201       44        42        40        0         119       44        159       71        
221       31        26        22        5         173       30        195       54        
232       84        77        37        0         118       77        155       57        
233       29        25        19        10        189       44        208       102       
242       40        40        59        18        143       40        202       14        
243       88        80        100       0         63        103       163       100       
243       139       145       96        0         71        187       98        0         
243       143       187       96        0         56        0         56        0         
243       144       190       93        0         53        0         53        0         
243       140       146       95        0         97        0         97        0         
246       38        37        20        12        189       37        209       19        
269       16        15        44        9         210       18        254       64        
292       12        10        25        22        257       11        282       85        
295       1         1         99        17        195       1         294       57        
295       101       1         99        0         292       6         294       0         
295       106       7         98        0         288       0         288       0         
318       90        84        29        0         205       170       234       75        
321       149       257       62        0         2         258       64        0         
321       150       263       57        0         57        264       58        0         
321       151       265       56        0         56        0         56        0         
321       152       272       48        0         8         273       49        0         
321       153       273       48        0         48        0         48        0         
321       154       278       43        0         43        0         43        0         
321       17        16        65        17        240       16        305       17        
329       64        59        96        0         174       59        270       58        
331       65        59        53        14        219       59        272       46        
331       75        66        71        0         194       259       265       83        
347       15        14        68        0         265       14        333       27        
347       111       16        66        0         331       0         331       0         
347       112       17        65        0         330       0         330       0         
347       6         5         19        0         323       5         342       80        
352       70        64        16        3         272       73        288       46        
356       95        88        16        0         252       138       268       73        
359       145       246       72        0         41        247       113       0         
359       147       250       69        0         109       251       109       0         
359       148       251       69        0         108       0         108       0         
359       92        86        34        0         239       112       273       75        
366       30        26        53        0         287       52        340       26        
388       98        93        64        0         231       206       295       62        
399       11        10        59        0         330       13        389       82        
399       113       28        45        0         371       0         371       0         
399       114       29        44        0         370       0         370       0         
415       142       165       54        0         196       360       250       0         
415       157       361       53        0         32        362       54        0         
415       159       367       48        0         48        0         48        0         
415       160       368       47        0         47        0         47        0         
415       158       362       52        0         53        0         53        0         
419       32        27        41        12        351       27        392       13        
430       94        88        48        0         294       88        342       16        
433       79        70        20        11        343       131       363       98        
449       76        67        24        12        358       95        382       104       
456       96        90        76        0         290       102       366       50        
458       18        16        77        0         365       16        442       19        
464       20        17        18        13        429       71        447       79        
464       122       71        18        0         393       0         393       0         
467       67        61        79        0         327       67        406       65        
472       89        82        78        17        312       90        390       52        
475       141       160       59        0         256       416       315       0         
475       161       417       58        0         58        0         58        0         
475       162       421       54        0         18        422       54        0         
475       163       428       48        0         1         429       47        0         
475       165       431       46        0         44        0         44        0         
475       166       436       41        0         39        0         39        0         
475       164       430       46        0         45        0         45        0         
477       68        63        25        10        389       71        414       55        
490       80        72        90        5         328       128       418       36        
494       78        69        17        0         408       208       425       55        
497       34        31        45        22        421       34        466       70        
503       9         9         55        13        439       9         494       50        
504       45        43        97        19        364       44        461       57        
512       33        29        54        10        429       29        483       40        
517       3         2         94        0         421       2         515       108       
517       103       2         94        0         515       0         515       0         
517       105       3         93        0         514       0         514       0         
539       69        63        16        6         460       166       476       66        
555       109       13        78        0         464       476       542       0         
555       167       477       77        0         45        478       78        0         
555       168       478       77        0         77        0         77        0         
555       169       481       74        0         38        482       74        0         
555       171       482       74        0         73        0         73        0         
555       172       484       72        0         71        0         71        0         
555       170       482       72        0         73        0         73        0         
569       100       95        70        5         404       110       474       65        
572       54        51        92        0         429       238       521       74        
575       35        31        99        0         445       31        544       77        
587       8         7         57        16        523       7         580       84        
592       93        87        16        14        489       87        505       16        
596       14        12        53        19        531       12        584       50        
599       39        38        93        8         468       52        561       33        
611       71        64        42        5         505       77        547       20        
624       23        21        75        11        528       23        603       17        
629       26        24        67        12        538       178       605       96        
635       173       557       75        0         3         558       78        0         
635       175       558       75        0         75        613       77        0         
635       179       614       74        0         21        0         21        0         
635       180       615       73        0         20        0         20        0         
635       176       560       73        0         66        561       75        0         
635       177       561       73        0         74        0         74        0         
635       178       562       72        0         73        0         73        0         
641       13        10        84        18        547       10        631       58        
653       60        52        42        14        559       52        601       11        
653       123       79        37        0         574       0         574       0         
653       124       80        36        0         556       636       573       0         
653       181       637       35        0         12        638       16        0         
653       183       639       33        0         14        0         14        0         
655       66        60        35        0         560       174       595       89        
662       52        49        90        16        523       57        613       84        
662       119       66        81        0         590       654       596       0         
662       185       656       79        0         1         657       6         0         
662       186       657       79        0         3         658       5         0         
662       187       658       78        0         4         0         4         0         
662       121       69        78        0         592       98        593       0         
662       128       98        78        0         564       0         564       0         
668       5         4         74        23        590       14        664       85        
669       74        65        74        0         530       202       604       89        
669       86        80        100       0         489       134       589       19        
673       47        45        33        9         595       108       628       79        
676       99        94        53        15        529       106       582       105       
683       72        64        75        6         544       135       619       37        
688       48        45        64        8         579       154       643       41        
691       10        10        68        3         613       27        681       54        
703       58        52        97        19        554       62        651       28        
708       41        40        31        13        637       42        668       18        
717       57        52        85        6         580       61        665       56        
723       82        74        20        3         629       95        649       77        
724       102       1         84        0         639       7         723       0         
724       107       11        80        0         713       0         713       0         
725       125       91        61        0         573       663       634       0         
725       188       667       57        0         31        668       58        0         
725       189       668       57        0         57        0         57        0         
725       190       671       54        0         18        672       54        0         
725       191       672       54        0         53        0         53        0         
725       193       674       52        0         51        0         51        0         
725       192       674       50        0         51        0         51        0         
730       85        79        53        7         598       95        651       48        
732       81        72        59        1         601       95        660       67        
735       91        86        84        15        565       219       649       29        
738       83        76        81        7         581       76        662       30        
738       129       99        77        0         619       124       639       0         
738       135       126       75        0         576       127       612       0         
738       137       131       71        0         607       0         607       0         
738       138       133       69        0         605       0         605       0         
738       136       127       74        0         604       244       611       0         
738       146       247       71        0         451       345       491       0         
738       155       345       71        0         393       0         393       0         
738       156       346       70        0         392       0         392       0         
738       131       100       76        0         602       556       638       0         
738       174       558       74        0         173       636       180       0         
738       182       638       72        0         100       0         100       0         
738       184       639       71        0         86        725       99        0         
738       194       728       68        0         5         729       10        0         
738       195       729       68        0         9         0         9         0         
738       196       732       64        0         6         0         6         0         
742       63        57        61        15        624       91        685       90        
742       126       92        60        0         647       739       650       0         
742       198       739       60        0         3         0         3         0         
742       200       740       59        0         2         0         2         0         
749       49        47        54        5         648       111       702       57        
751       7         7         59        10        685       97        744       56        
755       87        80        90        6         585       342       675       89        
756       61        53        52        9         651       63        703       15        
757       19        17        57        17        683       119       740       81        
760       28        25        99        11        636       44        735       109       
762       97        91        94        13        577       91        671       102       
770       2         1         84        31        685       1         769       108       
770       104       3         82        0         746       739       767       0         
770       197       739       82        0         31        0         31        0         
770       199       740       81        0         1         741       30        0         
770       201       749       73        0         1         750       21        0         
770       203       752       71        0         18        0         18        0         
770       204       754       69        0         16        0         16        0         
770       202       750       72        0         20        0         20        0         
777       46        45        88        0         644       142       732       109       
781       37        35        61        18        685       35        746       65        
789       73        64        87        3         638       99        725       109       
825       42        40        100       25        685       71        785       25        
829       55        52        70        14        707       199       777       57        
830       36        33        78        18        719       162       797       20        

Processes : 204
AVG WT=313.36       AVG RT=148.518      AVG TRT=352.888
Migiration :%      RTF = 16.1765 %        MaxW = 33.3333 %
Work Steal :       6.37255 %
Forked Processes : 27.9412 %
killed Proceeses : 47.0588 %


Processors : 14 [3 FCFS ,5 SJF ,4 RR , 2 DEF ]
Procesores load
P1 = 1.09717 %    P2 = 1.19536 %    P3 = 0.898651 %    P4 = 1.2167  %    P5 = 0.917862 %    P6 = 1.03099 %    P7 = 1.14199 %    P8 = 0.992572 %    P9 = 1.02459 %    P10 = 1.06728 %    P11 = 0.823941 %    P12 = 1.02246 %    P13 = 1.04594 %    P14 = 1.12065 %    

Processores Utiliz
P1 = 61.8532 %    P2 = 67.3887 %    P3 = 50.6619 %    P4 = 68.5921 %    P5 = 51.7449 %    P6 = 58.1227 %    P7 = 64.3803 %    P8 = 55.9567 %    P9 = 57.7617 %    P10 = 60.1685 %    P11 = 46.4501 %    P12 = 57.6414 %    P13 = 58.9651 %    P14 = 63.1769 %    
AVG Utilization = 58.776 %

Percentage of Process completed before expected deadline = 1.47059 %
